order_detail_id,order_id,product_id,quantity,unit_price,discount
OD0002802,ORD00028,PROD010,1,34.99,0.0
OD0002901,ORD00029,PROD025,2,129.99,0.05
OD0002902,ORD00029,PROD043,1,24.99,0.0
OD0002903,ORD00029,PROD030,1,19.99,0.0
OD0003001,ORD00030,PROD007,1,29.99,0.0
OD0003101,ORD00031,PROD005,1,59.99,0.1
OD0003102,ORD00031,PROD033,1,19.99,0.05
OD0003201,ORD00032,PROD021,1,24.99,0.05
OD0003202,ORD00032,PROD004,2,12.99,0.0
OD0003203,ORD00032,PROD043,2,24.99,0.0
OD0003301,ORD00033,PROD047,1,8.99,0.05
OD0003302,ORD00033,PROD049,1,11.99,0.0
OD0003303,ORD00033,PROD040,2,69.99,0.15
OD0003304,ORD00033,PROD010,2,34.99,0.05
OD0003401,ORD00034,PROD043,1,24.99,0.0
OD0003501,ORD00035,PROD021,2,24.99,0.05
OD0003502,ORD00035,PROD005,1,59.99,0.0
OD0003601,ORD00036,PROD025,1,129.99,0.0
OD0003701,ORD00037,PROD016,3,24.99,0.0
OD0003702,ORD00037,PROD050,1,39.99,0.0
OD0003703,ORD00037,PROD036,1,44.99,0.0
OD0003801,ORD00038,PROD048,4,6.99,0.0
OD0003901,ORD00039,PROD023,2,49.99,0.05
OD0003902,ORD00039,PROD033,3,19.99,0.05
OD0003903,ORD00039,PROD037,1,34.99,0.0
OD0004001,ORD00040,PROD046,1,29.99,0.1
OD0004002,ORD00040,PROD004,2,12.99,0.0
OD0004003,ORD00040,PROD022,4,59.99,0.2
OD0004101,ORD00041,PROD013,3,119.99,0.1
OD0004201,ORD00042,PROD012,2,59.99,0.0
OD0004202,ORD00042,PROD002,1,249.99,0.05
OD0004203,ORD00042,PROD011,1,89.99,0.1
OD0004204,ORD00042,PROD016,1,24.99,0.0
OD0004301,ORD00043,PROD019,1,39.99,0.0
OD0004302,ORD00043,PROD016,1,24.99,0.1
OD0004303,ORD00043,PROD033,2,19.99,0.0
OD0004304,ORD00043,PROD007,1,29.99,0.05
OD0004401,ORD00044,PROD043,1,24.99,0.1
OD0004501,ORD00045,PROD028,1,54.99,0.05
OD0004502,ORD00045,PROD030,2,19.99,0.0
OD0004503,ORD00045,PROD001,1,79.99,0.0
OD0004504,ORD00045,PROD044,1,9.99,0.0
OD0004505,ORD00045,PROD003,1,39.99,0.0
OD0004601,ORD00046,PROD013,1,119.99,0.05
OD0004701,ORD00047,PROD018,1,34.99,0.0
OD0004702,ORD00047,PROD045,1,19.99,0.0
OD0004801,ORD00048,PROD011,1,89.99,0.0
OD0004901,ORD00049,PROD030,1,19.99,0.0
OD0005001,ORD00050,PROD018,1,34.99,0.05
OD0005101,ORD00051,PROD049,1,11.99,0.0
OD0005102,ORD00051,PROD012,1,59.99,0.0
OD0005103,ORD00051,PROD003,1,39.99,0.0
OD0005201,ORD00052,PROD011,3,89.99,0.05
OD0005202,ORD00052,PROD021,1,24.99,0.05
OD0005301,ORD00053,PROD006,3,19.99,0.0
OD0005302,ORD00053,PROD017,2,29.99,0.1
OD0005401,ORD00054,PROD031,2,29.99,0.05
OD0005402,ORD00054,PROD029,1,14.99,0.0
OD0005501,ORD00055,PROD010,1,34.99,0.0
OD0005502,ORD00055,PROD003,1,39.99,0.05
OD0005601,ORD00056,PROD027,1,34.99,0.05
OD0005602,ORD00056,PROD007,1,29.99,0.15
OD0005701,ORD00057,PROD035,1,14.99,0.15
OD0005702,ORD00057,PROD021,1,24.99,0.05
OD0005703,ORD00057,PROD041,1,14.99,0.0
OD0005801,ORD00058,PROD011,1,89.99,0.0
OD0005802,ORD00058,PROD007,1,29.99,0.0
OD0005803,ORD00058,PROD046,1,29.99,0.0
OD0005901,ORD00059,PROD035,1,14.99,0.15
OD0005902,ORD00059,PROD012,3,59.99,0.0
OD0006001,ORD00060,PROD045,1,19.99,0.05
OD0006101,ORD00061,PROD031,2,29.99,0.05
OD0006102,ORD00061,PROD032,4,89.99,0.0
OD0006301,ORD00063,PROD031,1,29.99,0.0
OD0006302,ORD00063,PROD049,1,11.99,0.0
OD0006401,ORD00064,PROD040,1,69.99,0.0
OD0006402,ORD00064,PROD046,1,29.99,0.15
OD0006501,ORD00065,PROD012,1,59.99,0.05
OD0006502,ORD00065,PROD042,1,12.99,0.0
OD0006601,ORD00066,PROD034,1,24.99,0.1
OD0006602,ORD00066,PROD035,1,14.99,0.1
OD0006801,ORD00068,PROD038,1,24.99,0.0
OD0006802,ORD00068,PROD041,1,14.99,0.0
OD0006901,ORD00069,PROD002,2,249.99,0.0
OD0007001,ORD00070,PROD039,1,199.99,0.05
OD0007002,ORD00070,PROD010,1,34.99,0.05
OD0007101,ORD00071,PROD037,1,34.99,0.0
OD0007102,ORD00071,PROD003,1,39.99,0.0
OD0007103,ORD00071,PROD044,2,9.99,0.0
OD0007201,ORD00072,PROD030,1,19.99,0.0
OD0007202,ORD00072,PROD037,2,34.99,0.05
OD0007301,ORD00073,PROD009,1,89.99,0.05
OD0007302,ORD00073,PROD013,1,119.99,0.0
OD0007303,ORD00073,PROD014,1,79.99,0.0
OD0007304,ORD00073,PROD002,1,249.99,0.0
OD0007401,ORD00074,PROD010,1,34.99,0.0
OD0007402,ORD00074,PROD027,3,34.99,0.15
OD0007501,ORD00075,PROD012,1,59.99,0.0
OD0007502,ORD00075,PROD025,1,129.99,0.0
OD0007601,ORD00076,PROD014,2,79.99,0.15
OD0007701,ORD00077,PROD022,1,59.99,0.05
OD0007702,ORD00077,PROD028,1,54.99,0.0
OD0007801,ORD00078,PROD021,1,24.99,0.0
OD0007901,ORD00079,PROD039,2,199.99,0.0
OD0007902,ORD00079,PROD024,1,89.99,0.0
OD0008001,ORD00080,PROD033,2,19.99,0.05
OD0008002,ORD00080,PROD048,1,6.99,0.0
OD0008101,ORD00081,PROD036,4,44.99,0.0
OD0008201,ORD00082,PROD031,1,29.99,0.1
OD0008202,ORD00082,PROD033,1,19.99,0.05
OD0008203,ORD00082,PROD001,2,79.99,0.1
OD0008204,ORD00082,PROD043,2,24.99,0.0
OD0008401,ORD00084,PROD048,1,6.99,0.0
OD0008402,ORD00084,PROD002,1,249.99,0.2
OD0008501,ORD00085,PROD040,1,69.99,0.15
OD0008502,ORD00085,PROD045,2,19.99,0.0
OD0008503,ORD00085,PROD046,2,29.99,0.0
OD0008504,ORD00085,PROD021,1,24.99,0.0
OD0008505,ORD00085,PROD010,2,34.99,0.05
OD0008601,ORD00086,PROD032,2,89.99,0.05
OD0008602,ORD00086,PROD004,2,12.99,0.0
OD0008603,ORD00086,PROD023,1,49.99,0.0
OD0008701,ORD00087,PROD012,2,59.99,0.05
OD0008702,ORD00087,PROD014,3,79.99,0.0
OD0008801,ORD00088,PROD047,1,8.99,0.05
OD0008802,ORD00088,PROD007,1,29.99,0.0
OD0008803,ORD00088,PROD024,1,89.99,0.0
OD0008901,ORD00089,PROD039,1,199.99,0.0
OD0008902,ORD00089,PROD016,1,24.99,0.0
OD0009001,ORD00090,PROD032,2,89.99,0.1
OD0009101,ORD00091,PROD040,1,69.99,0.15
OD0009102,ORD00091,PROD048,1,6.99,0.05
OD0009201,ORD00092,PROD034,3,24.99,0.0
OD0009301,ORD00093,PROD037,2,34.99,0.05
OD0009401,ORD00094,PROD001,2,79.99,0.0
OD0009402,ORD00094,PROD019,1,39.99,0.0
OD0009403,ORD00094,PROD008,1,69.99,0.0
OD0009601,ORD00096,PROD042,1,12.99,0.0
OD0009701,ORD00097,PROD002,1,249.99,0.0
OD0009702,ORD00097,PROD013,2,119.99,0.0
OD0009801,ORD00098,PROD033,2,19.99,0.1
OD0009802,ORD00098,PROD002,2,249.99,0.05
OD0009901,ORD00099,PROD009,2,89.99,0.05
OD0009902,ORD00099,PROD018,1,34.99,0.0
OD0010001,ORD00100,PROD028,1,54.99,0.05
OD0010101,ORD00101,PROD016,1,24.99,0.05
OD0010102,ORD00101,PROD045,1,19.99,0.05
OD0010201,ORD00102,PROD044,2,9.99,0.1
OD0010202,ORD00102,PROD019,2,39.99,0.0
OD0010203,ORD00102,PROD036,1,44.99,0.0
OD0010301,ORD00103,PROD001,2,79.99,0.0
OD0010302,ORD00103,PROD033,1,19.99,0.0
OD0010303,ORD00103,PROD013,2,119.99,0.0
OD0010401,ORD00104,PROD025,3,129.99,0.0
OD0010501,ORD00105,PROD028,4,54.99,0.05
OD0010502,ORD00105,PROD010,1,34.99,0.0
OD0010503,ORD00105,PROD004,1,12.99,0.0
OD0010601,ORD00106,PROD039,2,199.99,0.0
OD0010602,ORD00106,PROD046,1,29.99,0.05
OD0010701,ORD00107,PROD047,1,8.99,0.0
OD0010801,ORD00108,PROD015,2,149.99,0.1
OD0010802,ORD00108,PROD039,2,199.99,0.0
OD0010901,ORD00109,PROD032,1,89.99,0.0
OD0011001,ORD00110,PROD046,2,29.99,0.05
OD0011002,ORD00110,PROD034,1,24.99,0.05
OD0011101,ORD00111,PROD026,1,79.99,0.0
OD0011102,ORD00111,PROD050,2,39.99,0.0
OD0011201,ORD00112,PROD017,1,29.99,0.1
OD0011202,ORD00112,PROD037,1,34.99,0.0
OD0011203,ORD00112,PROD048,1,6.99,0.0
OD0011301,ORD00113,PROD038,1,24.99,0.0
OD0011302,ORD00113,PROD017,3,29.99,0.0
OD0011401,ORD00114,PROD015,2,149.99,0.0
OD0011402,ORD00114,PROD024,2,89.99,0.0
OD0011403,ORD00114,PROD026,3,79.99,0.0
OD0011404,ORD00114,PROD048,1,6.99,0.0
OD0011501,ORD00115,PROD011,3,89.99,0.05
OD0011502,ORD00115,PROD008,1,69.99,0.0
OD0011601,ORD00116,PROD016,1,24.99,0.0
OD0011602,ORD00116,PROD018,2,34.99,0.0
OD0011603,ORD00116,PROD038,1,24.99,0.0
OD0011701,ORD00117,PROD030,3,19.99,0.05
OD0011702,ORD00117,PROD035,1,14.99,0.0
OD0011703,ORD00117,PROD028,1,54.99,0.0
OD0011704,ORD00117,PROD008,1,69.99,0.05
OD0011801,ORD00118,PROD026,4,79.99,0.2
OD0011802,ORD00118,PROD046,2,29.99,0.05
OD0011901,ORD00119,PROD011,3,89.99,0.0
OD0012001,ORD00120,PROD017,1,29.99,0.05
OD0012002,ORD00120,PROD012,2,59.99,0.05
OD0012003,ORD00120,PROD038,1,24.99,0.0
OD0012004,ORD00120,PROD022,1,59.99,0.0
OD0012005,ORD00120,PROD048,1,6.99,0.2
OD0012101,ORD00121,PROD031,3,29.99,0.0
OD0012102,ORD00121,PROD005,2,59.99,0.0
OD0012103,ORD00121,PROD029,4,14.99,0.0
OD0012104,ORD00121,PROD042,1,12.99,0.0
OD0012201,ORD00122,PROD021,4,24.99,0.0
OD0012202,ORD00122,PROD015,1,149.99,0.0
OD0012301,ORD00123,PROD013,1,119.99,0.0
OD0012302,ORD00123,PROD008,1,69.99,0.05
OD0012401,ORD00124,PROD006,1,19.99,0.0
OD0012501,ORD00125,PROD043,1,24.99,0.1
OD0012502,ORD00125,PROD001,1,79.99,0.1
OD0012601,ORD00126,PROD026,3,79.99,0.0
OD0012701,ORD00127,PROD023,1,49.99,0.0
OD0012702,ORD00127,PROD011,2,89.99,0.0
OD0012801,ORD00128,PROD041,1,14.99,0.05
OD0013001,ORD00130,PROD015,1,149.99,0.05
OD0013002,ORD00130,PROD035,2,14.99,0.0
OD0013003,ORD00130,PROD003,1,39.99,0.1
OD0013101,ORD00131,PROD008,1,69.99,0.0
OD0013102,ORD00131,PROD027,3,34.99,0.1
OD0013103,ORD00131,PROD031,1,29.99,0.0
OD0013104,ORD00131,PROD003,1,39.99,0.0
OD0013201,ORD00132,PROD023,1,49.99,0.0
OD0013202,ORD00132,PROD038,1,24.99,0.15
OD0013301,ORD00133,PROD039,1,199.99,0.05
OD0013302,ORD00133,PROD028,1,54.99,0.0
OD0013303,ORD00133,PROD023,1,49.99,0.0
OD0013304,ORD00133,PROD045,1,19.99,0.0
OD0013401,ORD00134,PROD024,2,89.99,0.05
OD0013402,ORD00134,PROD045,4,19.99,0.05
OD0013501,ORD00135,PROD040,1,69.99,0.0
OD0013502,ORD00135,PROD007,1,29.99,0.0
OD0013601,ORD00136,PROD026,2,79.99,0.0
OD0013602,ORD00136,PROD041,4,14.99,0.0
OD0013603,ORD00136,PROD048,2,6.99,0.2
OD0013604,ORD00136,PROD035,4,14.99,0.0
OD0013701,ORD00137,PROD009,2,89.99,0.05
OD0013702,ORD00137,PROD048,2,6.99,0.15
OD0013801,ORD00138,PROD048,2,6.99,0.1
OD0013802,ORD00138,PROD014,1,79.99,0.0
OD0014001,ORD00140,PROD004,1,12.99,0.0
OD0014002,ORD00140,PROD031,1,29.99,0.15
OD0014003,ORD00140,PROD038,2,24.99,0.1
OD0014101,ORD00141,PROD007,1,29.99,0.0
OD0014201,ORD00142,PROD007,1,29.99,0.15
OD0014202,ORD00142,PROD047,1,8.99,0.0
OD0014401,ORD00144,PROD038,2,24.99,0.0
OD0014501,ORD00145,PROD004,1,12.99,0.15
OD0014502,ORD00145,PROD008,1,69.99,0.0
OD0014503,ORD00145,PROD021,1,24.99,0.0
OD0014504,ORD00145,PROD032,1,89.99,0.15
OD0014505,ORD00145,PROD005,2,59.99,0.15
OD0014601,ORD00146,PROD042,1,12.99,0.0
OD0014701,ORD00147,PROD046,2,29.99,0.15
OD0014801,ORD00148,PROD046,1,29.99,0.1
OD0014901,ORD00149,PROD016,1,24.99,0.05
OD0014902,ORD00149,PROD013,1,119.99,0.2
OD0014903,ORD00149,PROD021,1,24.99,0.1
OD0014904,ORD00149,PROD031,1,29.99,0.05
OD0015001,ORD00150,PROD017,1,29.99,0.0
OD0015002,ORD00150,PROD037,1,34.99,0.0
OD0015101,ORD00151,PROD010,1,34.99,0.0
OD0015201,ORD00152,PROD029,1,14.99,0.0
OD0015202,ORD00152,PROD010,2,34.99,0.05
OD0015203,ORD00152,PROD020,1,22.99,0.05
OD0015204,ORD00152,PROD017,1,29.99,0.0
OD0015301,ORD00153,PROD033,4,19.99,0.0
OD0015302,ORD00153,PROD004,1,12.99,0.0
OD0015401,ORD00154,PROD016,4,24.99,0.1
OD0015402,ORD00154,PROD049,2,11.99,0.0
OD0015501,ORD00155,PROD035,1,14.99,0.0
OD0015601,ORD00156,PROD011,1,89.99,0.0
OD0015602,ORD00156,PROD021,1,24.99,0.0
OD0015603,ORD00156,PROD017,1,29.99,0.0
OD0015701,ORD00157,PROD028,2,54.99,0.05
OD0015901,ORD00159,PROD024,1,89.99,0.0
OD0015902,ORD00159,PROD034,2,24.99,0.0
OD0015903,ORD00159,PROD030,3,19.99,0.0
OD0015904,ORD00159,PROD010,2,34.99,0.0
OD0015905,ORD00159,PROD017,1,29.99,0.0
OD0016001,ORD00160,PROD011,1,89.99,0.0
OD0016002,ORD00160,PROD048,1,6.99,0.05
OD0016201,ORD00162,PROD030,2,19.99,0.1
OD0016202,ORD00162,PROD031,1,29.99,0.0
OD0016301,ORD00163,PROD021,1,24.99,0.15
OD0016302,ORD00163,PROD010,2,34.99,0.0
OD0016401,ORD00164,PROD045,2,19.99,0.0
OD0016501,ORD00165,PROD015,1,149.99,0.2
OD0016601,ORD00166,PROD019,1,39.99,0.15
OD0016602,ORD00166,PROD015,3,149.99,0.0
OD0016603,ORD00166,PROD006,1,19.99,0.0
OD0016701,ORD00167,PROD011,1,89.99,0.05
OD0016702,ORD00167,PROD029,1,14.99,0.05
OD0016703,ORD00167,PROD022,1,59.99,0.0
OD0016704,ORD00167,PROD025,1,129.99,0.0
OD0016801,ORD00168,PROD026,3,79.99,0.1
OD0016802,ORD00168,PROD029,3,14.99,0.0
OD0016803,ORD00168,PROD023,2,49.99,0.0
OD0017001,ORD00170,PROD035,2,14.99,0.0
OD0017002,ORD00170,PROD040,1,69.99,0.1
OD0017201,ORD00172,PROD027,1,34.99,0.1
OD0017202,ORD00172,PROD041,1,14.99,0.0
OD0017203,ORD00172,PROD014,1,79.99,0.05
OD0017204,ORD00172,PROD049,1,11.99,0.1
OD0017301,ORD00173,PROD008,1,69.99,0.05
OD0017302,ORD00173,PROD014,2,79.99,0.0
OD0017303,ORD00173,PROD003,1,39.99,0.15
OD0017401,ORD00174,PROD025,3,129.99,0.1
OD0017402,ORD00174,PROD024,1,89.99,0.0
OD0017403,ORD00174,PROD006,1,19.99,0.0
OD0017501,ORD00175,PROD026,3,79.99,0.0
OD0017601,ORD00176,PROD007,3,29.99,0.05
OD0017602,ORD00176,PROD033,1,19.99,0.1
OD0017701,ORD00177,PROD011,1,89.99,0.0
OD0017702,ORD00177,PROD013,1,119.99,0.15
OD0017703,ORD00177,PROD004,1,12.99,0.0
OD0017901,ORD00179,PROD037,1,34.99,0.0
OD0018001,ORD00180,PROD046,2,29.99,0.0
OD0018002,ORD00180,PROD015,1,149.99,0.0
OD0018101,ORD00181,PROD042,1,12.99,0.0
OD0018102,ORD00181,PROD007,2,29.99,0.0
OD0018201,ORD00182,PROD047,2,8.99,0.0
OD0018202,ORD00182,PROD046,3,29.99,0.1
OD0018203,ORD00182,PROD006,1,19.99,0.0
OD0018301,ORD00183,PROD039,1,199.99,0.2
OD0018302,ORD00183,PROD004,4,12.99,0.1
OD0018401,ORD00184,PROD031,1,29.99,0.0
OD0018601,ORD00186,PROD017,1,29.99,0.05
OD0018602,ORD00186,PROD046,3,29.99,0.0
OD0018603,ORD00186,PROD022,1,59.99,0.05
OD0018604,ORD00186,PROD047,3,8.99,0.1
OD0018701,ORD00187,PROD021,2,24.99,0.05
OD0018702,ORD00187,PROD030,2,19.99,0.2
OD0018703,ORD00187,PROD034,1,24.99,0.0
OD0018801,ORD00188,PROD019,2,39.99,0.05
OD0018802,ORD00188,PROD006,2,19.99,0.0
OD0018901,ORD00189,PROD020,2,22.99,0.1
OD0018902,ORD00189,PROD019,1,39.99,0.0
OD0018903,ORD00189,PROD013,1,119.99,0.0
OD0019001,ORD00190,PROD034,3,24.99,0.05
OD0019002,ORD00190,PROD037,1,34.99,0.0
OD0019003,ORD00190,PROD003,3,39.99,0.0
OD0019004,ORD00190,PROD050,3,39.99,0.0
OD0019101,ORD00191,PROD045,2,19.99,0.0
OD0019301,ORD00193,PROD029,1,14.99,0.1
OD0019302,ORD00193,PROD003,1,39.99,0.2
OD0019401,ORD00194,PROD035,3,14.99,0.0
OD0019501,ORD00195,PROD032,1,89.99,0.05
OD0019502,ORD00195,PROD038,1,24.99,0.0
OD0019601,ORD00196,PROD005,2,59.99,0.0
OD0019602,ORD00196,PROD048,2,6.99,0.05
OD0019701,ORD00197,PROD004,1,12.99,0.05
OD0019801,ORD00198,PROD010,1,34.99,0.05
OD0019901,ORD00199,PROD003,1,39.99,0.0
OD0019902,ORD00199,PROD026,1,79.99,0.0
OD0020001,ORD00200,PROD010,1,34.99,0.0
OD0020002,ORD00200,PROD002,1,249.99,0.05
OD0020101,ORD00201,PROD023,1,49.99,0.15
OD0020102,ORD00201,PROD006,3,19.99,0.0
OD0020201,ORD00202,PROD050,1,39.99,0.0
OD0020301,ORD00203,PROD002,2,249.99,0.05
OD0020302,ORD00203,PROD041,2,14.99,0.0
OD0020401,ORD00204,PROD001,1,79.99,0.05
OD0020402,ORD00204,PROD037,1,34.99,0.0
OD0020403,ORD00204,PROD010,1,34.99,0.0
OD0020501,ORD00205,PROD036,2,44.99,0.05
OD0020502,ORD00205,PROD024,1,89.99,0.05
OD0020601,ORD00206,PROD032,2,89.99,0.0
OD0020602,ORD00206,PROD028,2,54.99,0.0
OD0020701,ORD00207,PROD029,1,14.99,0.0
OD0020702,ORD00207,PROD025,1,129.99,0.15
OD0020801,ORD00208,PROD028,2,54.99,0.15
OD0020901,ORD00209,PROD050,1,39.99,0.0
OD0021001,ORD00210,PROD009,2,89.99,0.0
OD0021002,ORD00210,PROD026,4,79.99,0.0
OD0021003,ORD00210,PROD021,1,24.99,0.1
OD0021004,ORD00210,PROD034,3,24.99,0.1
OD0021101,ORD00211,PROD046,1,29.99,0.1
OD0021102,ORD00211,PROD050,3,39.99,0.0
OD0021201,ORD00212,PROD026,1,79.99,0.05
OD0021202,ORD00212,PROD035,3,14.99,0.0
OD0021301,ORD00213,PROD015,4,149.99,0.0
OD0021302,ORD00213,PROD027,1,34.99,0.1
OD0021401,ORD00214,PROD022,2,59.99,0.0
OD0021501,ORD00215,PROD011,1,89.99,0.0
OD0021502,ORD00215,PROD012,1,59.99,0.05
OD0021503,ORD00215,PROD023,2,49.99,0.05
OD0021504,ORD00215,PROD041,3,14.99,0.1
OD0021601,ORD00216,PROD029,1,14.99,0.0
OD0021602,ORD00216,PROD038,2,24.99,0.0
OD0021603,ORD00216,PROD037,3,34.99,0.0
OD0021604,ORD00216,PROD042,2,12.99,0.05
OD0021701,ORD00217,PROD020,2,22.99,0.05
OD0021702,ORD00217,PROD001,1,79.99,0.05
OD0021801,ORD00218,PROD021,2,24.99,0.1
OD0021901,ORD00219,PROD015,1,149.99,0.1
OD0021902,ORD00219,PROD022,3,59.99,0.1
OD0022001,ORD00220,PROD040,1,69.99,0.0
OD0022002,ORD00220,PROD008,1,69.99,0.0
OD0022101,ORD00221,PROD001,1,79.99,0.0
OD0022201,ORD00222,PROD025,1,129.99,0.0
OD0022202,ORD00222,PROD004,2,12.99,0.0
OD0022301,ORD00223,PROD018,2,34.99,0.15
OD0022302,ORD00223,PROD030,2,19.99,0.1
OD0022303,ORD00223,PROD042,1,12.99,0.05
OD0022401,ORD00224,PROD047,2,8.99,0.1
OD0022402,ORD00224,PROD027,1,34.99,0.05
OD0022403,ORD00224,PROD022,1,59.99,0.05
OD0022501,ORD00225,PROD041,2,14.99,0.0
OD0022601,ORD00226,PROD014,1,79.99,0.0
OD0022602,ORD00226,PROD009,3,89.99,0.0
OD0022701,ORD00227,PROD008,1,69.99,0.15
OD0022702,ORD00227,PROD023,1,49.99,0.0
OD0022901,ORD00229,PROD030,2,19.99,0.05
OD0023001,ORD00230,PROD047,1,8.99,0.0
OD0023002,ORD00230,PROD015,4,149.99,0.0
OD0023201,ORD00232,PROD028,2,54.99,0.15
OD0023202,ORD00232,PROD012,2,59.99,0.0
OD0023203,ORD00232,PROD040,2,69.99,0.0
OD0023204,ORD00232,PROD009,2,89.99,0.05
OD0023301,ORD00233,PROD004,2,12.99,0.05
OD0023302,ORD00233,PROD038,1,24.99,0.0
OD0023401,ORD00234,PROD037,1,34.99,0.05
OD0023402,ORD00234,PROD022,3,59.99,0.0
OD0023403,ORD00234,PROD010,2,34.99,0.0
OD0023501,ORD00235,PROD032,2,89.99,0.0
OD0023601,ORD00236,PROD030,2,19.99,0.15
OD0023602,ORD00236,PROD046,1,29.99,0.05
OD0023603,ORD00236,PROD002,1,249.99,0.0
OD0023604,ORD00236,PROD003,1,39.99,0.0
OD0023605,ORD00236,PROD029,1,14.99,0.05
OD0023701,ORD00237,PROD036,1,44.99,0.0
OD0023702,ORD00237,PROD031,1,29.99,0.0
OD0023703,ORD00237,PROD026,1,79.99,0.0
OD0023704,ORD00237,PROD006,1,19.99,0.05
OD0023801,ORD00238,PROD040,1,69.99,0.05
OD0023901,ORD00239,PROD014,1,79.99,0.05
OD0023902,ORD00239,PROD049,2,11.99,0.0
OD0024001,ORD00240,PROD005,2,59.99,0.05
OD0024101,ORD00241,PROD006,1,19.99,0.15
OD0024102,ORD00241,PROD042,4,12.99,0.0
OD0024103,ORD00241,PROD024,1,89.99,0.0
OD0024104,ORD00241,PROD005,1,59.99,0.05
OD0024201,ORD00242,PROD013,2,119.99,0.05
OD0024202,ORD00242,PROD028,2,54.99,0.0
OD0024203,ORD00242,PROD017,2,29.99,0.05
OD0024204,ORD00242,PROD004,4,12.99,0.0
OD0024301,ORD00243,PROD010,1,34.99,0.0
OD0024401,ORD00244,PROD028,1,54.99,0.0
OD0024501,ORD00245,PROD045,3,19.99,0.0
OD0024502,ORD00245,PROD025,3,129.99,0.0
OD0024601,ORD00246,PROD047,1,8.99,0.0
OD0024602,ORD00246,PROD021,2,24.99,0.0
OD0024701,ORD00247,PROD005,1,59.99,0.0
OD0024702,ORD00247,PROD007,1,29.99,0.0
OD0024703,ORD00247,PROD045,3,19.99,0.05
OD0024801,ORD00248,PROD015,2,149.99,0.2
OD0024802,ORD00248,PROD014,1,79.99,0.05
OD0024803,ORD00248,PROD026,1,79.99,0.15
OD0024804,ORD00248,PROD023,2,49.99,0.05
OD0024805,ORD00248,PROD010,4,34.99,0.05
OD0024901,ORD00249,PROD032,1,89.99,0.0
OD0024902,ORD00249,PROD048,3,6.99,0.1
OD0025001,ORD00250,PROD037,1,34.99,0.05
OD0025002,ORD00250,PROD046,1,29.99,0.0
